,date,value
0,01-01-1996,2.2
1,01-01-1997,3.4
2,01-01-1998,0.3
3,01-01-1999,0.5
4,01-01-2000,4.4
5,01-01-2001,1.4
6,01-01-2002,3.1
7,01-01-2003,1.1
8,01-01-2004,5.8
9,01-01-2005,3.2
10,01-01-2006,4.0
11,01-01-2007,6.1
12,01-01-2008,5.1
13,01-01-2009,-0.1
14,01-01-2010,7.5
15,01-01-2011,4.0
16,01-01-2012,1.9
17,01-01-2013,3.0
18,01-01-2014,0.5
19,01-01-2015,-3.5
20,01-01-2016,-3.3
21,01-01-2017,1.3
22,01-01-2018,1.8
23,01-01-2019,1.2
24,01-01-2020,-3.3
